ID_pulau,luas,banyak_spesies,rrt_spesies_transek,rrt_spesies_plot
GB1,4774.04,18,6.4,2.4166666666666665
GB2,7.29,1,1,1
GB3,2329.91,17,7.25,2.35
GB4,8.06,1,1,1
GB5,20.27,2,2,2
GB6,316.83,8,5.5,2.2222222222222223
GB7,1575.25,12,6.5,2.1666666666666665
GB8,1263.62,13,8,2.8666666666666667
GB9,1716.25,18,9,2.85
GB10,121.47,5,5,1.75
GB11,817.06,9,5.333333333333333,2.6
GB12,1649.94,14,6.75,2
GB13,601.88,10,7.5,2.4
GB14,535.2,11,7,2.7
GB15,380.6,9,9,3.4
GB16,137.07,6,6,2.5
GB17,18.43,3,3,2
GB18,432.77,8,8,2.8
GB19,15.1,1,1,1
GB20,864,13,7.666666666666667,3
GB21,10.51,2,2,2
GB22,1571.48,14,6,2.1578947368421053
GB23,1375.63,13,5.75,2.3
GB24,1862.75,17,8.5,2.95
GB25,69.14,8,8,3.3333333333333335
GB26,3865.84,17,7,2.44
GB27,11806.28,20,10.166666666666666,3.433333333333333
GB28,4429.05,24,8.4,2.72
GB29,5526.65,26,9.666666666666666,3.1666666666666665
GB30,8520.55,21,8.666666666666666,3
GB31,7181.16,18,8.833333333333334,3.2666666666666666
GB32,13.63,1,1,1
GB33,12.78,0,0,0
GB34,12.01,0,0,0
GB35,29.39,0,0,0
GB36,16.46,1,1,1
GB37,15.94,2,2,2
GB38,3.64,0,0,0
GB39,6.22,0,0,0
GB40,10.52,0,0,0
GB41,6.57,0,0,0
GB42,7,1,1,1
GB43,4.63,0,0,0
GB44,22.6,0,0,0
GB45,5.66,0,0,0
GB46,77.94,5,5,3
GB47,8.24,0,0,0
GB48,4.34,0,0,0
GB49,7.93,0,0,0
GB50,11.01,0,0,0
GB51,2.81,0,0,0
GB52,5.75,2,2,2
GB53,3.58,0,0,0
GB54,3.53,0,0,0
GB55,25.49,5,5,2.5
GB56,6.34,1,1,1
GB57,14.81,0,0,0
GB58,16.77,0,0,0
GB59,2620.3,13,7,2.2
GB60,3.11,0,0,0
