bulan,banyak_pengunjung,turis
2008-01-01,177698,Domestik
2009-01-01,233814,Domestik
2010-01-01,253685,Domestik
2011-01-01,125367,Domestik
2012-01-01,265454,Domestik
2013-01-01,267189,Domestik
2014-01-01,324624,Domestik
2015-01-01,301690,Domestik
2016-01-01,324590,Domestik
2017-01-01,400191,Domestik
2018-01-01,321893,Domestik
2019-01-01,341685,Domestik
2020-01-01,395175,Domestik
2021-01-01,30394,Domestik
2022-01-01,131561,Domestik
2008-02-01,95689,Domestik
2009-02-01,95521,Domestik
2010-02-01,131952,Domestik
2011-02-01,83143,Domestik
2012-02-01,122866,Domestik
2013-02-01,135565,Domestik
2014-02-01,115244,Domestik
2015-02-01,166323,Domestik
2016-02-01,230022,Domestik
2017-02-01,197361,Domestik
2018-02-01,235303,Domestik
2019-02-01,247731,Domestik
2020-02-01,234280,Domestik
2021-02-01,18641,Domestik
2022-02-01,89203,Domestik
2008-03-01,155716,Domestik
2009-03-01,150391,Domestik
2010-03-01,102296,Domestik
2011-03-01,84967,Domestik
2012-03-01,153306,Domestik
2013-03-01,218012,Domestik
2014-03-01,206051,Domestik
2015-03-01,201414,Domestik
2016-03-01,229138,Domestik
2017-03-01,261872,Domestik
2018-03-01,291425,Domestik
2019-03-01,262877,Domestik
2020-03-01,111908,Domestik
2021-03-01,34624,Domestik
2022-03-01,111540,Domestik
2008-04-01,94903,Domestik
2009-04-01,95806,Domestik
2010-04-01,175353,Domestik
2011-04-01,83143,Domestik
2012-04-01,161996,Domestik
2013-04-01,162241,Domestik
2014-04-01,165001,Domestik
2015-04-01,206204,Domestik
2016-04-01,244617,Domestik
2017-04-01,325315,Domestik
2018-04-01,323325,Domestik
2019-04-01,357108,Domestik
2020-04-01,0,Domestik
2021-04-01,30713,Domestik
2022-04-01,23890,Domestik
2008-05-01,192487,Domestik
2009-05-01,252427,Domestik
2010-05-01,301687,Domestik
2011-05-01,223389,Domestik
2012-05-01,397878,Domestik
2013-05-01,458675,Domestik
2014-05-01,456831,Domestik
2015-05-01,500103,Domestik
2016-05-01,403267,Domestik
2017-05-01,339867,Domestik
2018-05-01,237315,Domestik
2019-05-01,111921,Domestik
2020-05-01,0,Domestik
2021-05-01,38369,Domestik
2022-05-01,324135,Domestik
2008-06-01,340264,Domestik
2009-06-01,405141,Domestik
2010-06-01,385532,Domestik
2011-06-01,289105,Domestik
2012-06-01,352987,Domestik
2013-06-01,423821,Domestik
2014-06-01,385240,Domestik
2015-06-01,230725,Domestik
2016-06-01,227469,Domestik
2017-06-01,272389,Domestik
2018-06-01,440194,Domestik
2019-06-01,565032,Domestik
2020-06-01,2235,Domestik
2021-06-01,54589,Domestik
2022-06-01,191810,Domestik
2008-07-01,219674,Domestik
2009-07-01,243447,Domestik
2010-07-01,284047,Domestik
2011-07-01,185914,Domestik
2012-07-01,191926,Domestik
2013-07-01,115960,Domestik
2014-07-01,192652,Domestik
2015-07-01,362997,Domestik
2016-07-01,455863,Domestik
2017-07-01,359235,Domestik
2018-07-01,291732,Domestik
2019-07-01,330191,Domestik
2020-07-01,16858,Domestik
2021-07-01,0,Domestik
2022-07-01,125266,Domestik
2008-08-01,112028,Domestik
2009-08-01,85851,Domestik
2010-08-01,62931,Domestik
2011-08-01,62177,Domestik
