kota,bulan,rrt_lama_hari
Denpasar,1,12.56402329749104
Denpasar,2,12.380724206349207
Denpasar,3,12.147759856630824
Denpasar,4,11.911555555555555
Denpasar,5,11.721209677419354
Denpasar,6,11.62750925925926
Denpasar,7,11.669551971326165
Denpasar,8,11.829543010752689
Denpasar,9,12.049731481481482
Denpasar,10,12.289955197132617
Denpasar,11,12.505777777777778
Denpasar,12,12.620125448028674
Denpasar,13,12.565089605734768
Denpasar,14,12.378639846743296
Denpasar,15,12.141666666666667
Denpasar,16,11.906083333333333
Denpasar,17,11.717491039426523
Denpasar,18,11.626842592592592
Denpasar,19,11.672258064516129
Denpasar,20,11.834462365591397
Denpasar,21,12.055592592592593
Denpasar,22,12.295860215053763
Denpasar,23,12.510240740740741
Denpasar,24,12.620958781362008
Perth,1,13.970403225806452
Perth,2,13.228452380952382
Perth,3,12.283458781362008
Perth,4,11.309166666666666
Perth,5,10.501200716845878
Perth,6,10.093814814814815
Perth,7,10.278566308243727
Perth,8,10.965905017921147
Perth,9,11.884185185185185
Perth,10,12.863145161290323
Perth,11,13.735666666666667
Perth,12,14.198906810035842
Perth,13,13.974758064516129
Perth,14,13.220047892720306
Perth,15,12.258530465949821
Perth,16,11.286231481481481
Perth,17,10.485170250896058
Perth,18,10.090944444444444
Perth,19,10.290295698924732
Perth,20,10.986729390681004
Perth,21,11.908314814814815
Perth,22,12.887051971326166
Perth,23,13.753675925925926
Perth,24,14.202267025089606
